Type                                  Module                      Label             Process   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter2IterL3FromL1MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter2IterL3MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter3IterL3FromL1MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter3IterL3MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::DetSetVector<PixelDigi>          "hltSiPixelDigis"           ""                "MyHLT"   
edm::DetSetVector<SiPixelRawDataError>    "hltSiPixelDigis"           ""                "MyHLT"   
edm::DetSetVector<SiStripDigi>        "hltSiStripRawToDigi"       "ZeroSuppressed"   "MyHLT"   
edm::DetSetVector<SiStripRawDigi>     "hltSiStripRawToDigi"       "ProcessedRaw"    "MyHLT"   
edm::DetSetVector<SiStripRawDigi>     "hltSiStripRawToDigi"       "ScopeMode"       "MyHLT"   
edm::DetSetVector<SiStripRawDigi>     "hltSiStripRawToDigi"       "VirginRaw"       "MyHLT"   
edm::EDCollection<DetId>              "hltSiPixelDigis"           ""                "MyHLT"   
edm::EDCollection<DetId>              "hltSiStripExcludedFEDListProducer"   ""                "MyHLT"   
edm::EDCollection<DetId>              "hltSiStripRawToDigi"       ""                "MyHLT"   
edm::EDCollection<DetId>              "hltSiPixelDigis"           "UserErrorModules"   "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0IterL3MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3FromL1MuonMergedPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3MuonMergedPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2IterL3MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3FromL1MuonMergedPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3MuonMergedPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3FromL1MuonPixelTracksPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3GlbMuonPPOnAA"    ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3MuonAndMuonFromL1MergedPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3MuonMergedPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3MuonPixelTracksPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3MuonTracksPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3OIMuCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3OIMuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
